form,filing_date,accession,url
8-K,2017-09-15,0001628280-17-009319,https://www.sec.gov/Archives/edgar/data/1375365/000162828017009319/form8-k_20170914.htm
NT 10-K,2017-08-29,0001628280-17-008984,https://www.sec.gov/Archives/edgar/data/1375365/000162828017008984/smci-form12bx25nt10xk.htm
8-K,2017-08-03,0001628280-17-008033,https://www.sec.gov/Archives/edgar/data/1375365/000162828017008033/form8-kq4x2017.htm
8-K,2017-07-20,0001628280-17-007157,https://www.sec.gov/Archives/edgar/data/1375365/000162828017007157/form8-kq4x2017_pre.htm
10-Q,2017-05-10,0001628280-17-005370,https://www.sec.gov/Archives/edgar/data/1375365/000162828017005370/smci-20170331x10q.htm
8-K,2017-04-27,0001628280-17-004432,https://www.sec.gov/Archives/edgar/data/1375365/000162828017004432/form8-kq3x2017.htm
8-K,2017-03-02,0001628280-17-002111,https://www.sec.gov/Archives/edgar/data/1375365/000162828017002111/form8-kx2017x03x01sh.htm
10-Q,2017-02-07,0001628280-17-000961,https://www.sec.gov/Archives/edgar/data/1375365/000162828017000961/smci-20161231x10q.htm
8-K,2017-01-26,0001628280-17-000437,https://www.sec.gov/Archives/edgar/data/1375365/000162828017000437/form8-kq2x2017.htm
DEF 14A,2017-01-18,0001628280-17-000288,https://www.sec.gov/Archives/edgar/data/1375365/000162828017000288/proxystatementfy2016.htm
10-Q,2016-11-07,0001628280-16-020941,https://www.sec.gov/Archives/edgar/data/1375365/000162828016020941/smci-20160930x10q.htm
8-K,2016-10-27,0001628280-16-020384,https://www.sec.gov/Archives/edgar/data/1375365/000162828016020384/form8-kq1x2017.htm
10-K,2016-08-26,0001628280-16-019274,https://www.sec.gov/Archives/edgar/data/1375365/000162828016019274/smci-2016630x10k.htm
8-K,2016-08-04,0001628280-16-018511,https://www.sec.gov/Archives/edgar/data/1375365/000162828016018511/form8-kq4x2016.htm
8-K,2016-07-18,0001628280-16-017629,https://www.sec.gov/Archives/edgar/data/1375365/000162828016017629/form8-kq4x2016_pre.htm
10-Q,2016-05-06,0001628280-16-015755,https://www.sec.gov/Archives/edgar/data/1375365/000162828016015755/smci-20160331x10q.htm
8-K,2016-04-28,0001628280-16-014939,https://www.sec.gov/Archives/edgar/data/1375365/000162828016014939/form8-kq3x2016.htm
8-K,2016-04-15,0001628280-16-014222,https://www.sec.gov/Archives/edgar/data/1375365/000162828016014222/form8-kq3x2016_04142016.htm
8-K,2016-03-14,0001628280-16-012679,https://www.sec.gov/Archives/edgar/data/1375365/000162828016012679/form8-kx2016x3x08sh.htm
