statement,line_item,concept,period,value,units,form,accession,source_url,provenance
BS,"Inventories, net",InventoryNet,Q/E 2025-12-31,10595448000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,"Inventories, net",InventoryNet,Q/E 2026-03-31,11103376000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,Total liabilities,Liabilities,FY2023,1702559000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Total liabilities,Liabilities,FY2024,4408722000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Total liabilities,Liabilities,FY2025,7716558000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Total liabilities,Liabilities,Q/E 2024-09-30,4974466000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Total liabilities,Liabilities,Q/E 2024-12-31,3489882000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Total liabilities,Liabilities,Q/E 2025-03-31,4359046000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Total liabilities,Liabilities,Q/E 2025-09-30,7862477000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Total liabilities,Liabilities,Q/E 2025-12-31,21009433000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Total liabilities,Liabilities,Q/E 2026-03-31,15876438000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,FY2023,3674729000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,FY2024,9826092000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,FY2025,14018429000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
